symbol	|	2.70805020110221
son's	|	2.6390573296152584
lovingly	|	2.6390573296152584
fashioned	|	2.6390573296152584
thematic	|	2.5649493574615367
outstanding	|	2.505525936990736
melancholy	|	2.4849066497880004
dread	|	2.4849066497880004
characteristic	|	2.3978952727983707
ideals	|	2.3978952727983707
en	|	2.3978952727983707
masterfully	|	2.3978952727983707
comforts	|	2.3978952727983707
religion	|	2.3513752571634776
symbols	|	2.302585092994046
exhilarating	|	2.302585092994046
vulnerable	|	2.302585092994046
steady	|	2.302585092994046
gattaca	|	2.302585092994046
tobey	|	2.302585092994046
