atrocious	|	2.8903717578961645
seagal	|	2.6390573296152584
3000	|	2.6390573296152584
jolie	|	2.6390573296152584
incoherent	|	2.5649493574615367
justin	|	2.5649493574615367
angelina	|	2.5649493574615367
dud	|	2.5649493574615367
wielding	|	2.4849066497880004
overwrought	|	2.3978952727983707
degenerates	|	2.3978952727983707
shoddy	|	2.3978952727983707
ludicrous	|	2.367123614131617
insulting	|	2.3513752571634776
silverstone	|	2.302585092994046
bruckheimer	|	2.302585092994046
horrid	|	2.302585092994046
nutty	|	2.302585092994046
uninvolving	|	2.2512917986064953
chuckle	|	2.2512917986064953
