&nbsp	|	4.1814473891809065
jolie	|	3.537897149760333
seagal	|	3.5051073269373423
brenner	|	3.239404161204337
1900	|	3.194952398633503
pokemon	|	3.14843238299861
8mm	|	3.12433483141955
bruckheimer	|	3.0483489244416275
silverman	|	3.0483489244416275
supergirl	|	2.994281703171352
memphis	|	2.994281703171352
atrocious	|	2.994281703171352
tango	|	2.994281703171352
psychlo	|	2.994281703171352
babysitter	|	2.994281703171352
psychlos	|	2.994281703171352
tomb	|	2.937123289331403
mandingo	|	2.937123289331403
raider	|	2.937123289331403
farrellys	|	2.937123289331403
