shrek	|	3.9904346169469136
mulan	|	3.5596517008544595
gattaca	|	3.5070079673690375
flynt	|	3.3460776005564004
guido	|	3.3300772592099595
ordell	|	3.3300772592099595
leila	|	3.297287436386968
sweetback	|	3.228294564900017
taran	|	3.1919269207291423
homer	|	3.154186592746295
mallory	|	3.1149658795930137
donkey	|	3.031584270653963
argento	|	2.987132508083129
rounders	|	2.987132508083129
truman's	|	2.940612492448236
lebowski	|	2.9165149408691757
fei-hong	|	2.891822328278804
giles	|	2.891822328278804
farquaad	|	2.8405290338912534
osment	|	2.7864618126209777
